order_id,customer_id,order_date,amount,product_category,city,payment_method
ORD004023,CUST0416,2022-12-10,425.96,Clothing,Pune,Debit Card
ORD005413,CUST0559,2023-09-22,461.39,Books,Ahmedabad,Credit Card
ORD000488,CUST0041,2022-09-25,827.81,Sports,Surat,Credit Card
ORD000040,CUST0006,2023-01-03,765.08,Beauty,Chennai,UPI
ORD006796,CUST0690,2023-06-17,855.75,Electronics,Mumbai,Credit Card
ORD009440,CUST0947,2022-12-15,934.64,Beauty,Jaipur,COD
ORD007451,CUST0763,2022-01-04,903.59,Clothing,Mumbai,UPI
ORD002378,CUST0232,2022-03-12,379.5,Clothing,Surat,Credit Card
ORD002408,CUST0237,2022-11-21,958.55,Clothing,Ahmedabad,COD
ORD000484,CUST0041,2023-07-04,714.86,Electronics,Bangalore,Debit Card
ORD008605,CUST0881,2022-11-23,587.19,Sports,Ahmedabad,Debit Card
ORD002754,CUST0284,2023-04-06,2243.6,Clothing,Ahmedabad,COD
ORD005842,CUST0600,2022-01-27,1436.03,Clothing,Bangalore,UPI
ORD004234,CUST0435,2022-06-26,3122.07,Home & Kitchen,Chennai,Credit Card
ORD002499,CUST0245,2023-06-01,2687.73,Electronics,Ahmedabad,UPI
ORD008870,CUST0900,2023-12-05,1709.15,Electronics,Jaipur,Debit Card
ORD005503,CUST0566,2023-02-07,362.85,Clothing,Mumbai,NetBanking
ORD001394,CUST0129,2022-03-07,3588.48,Clothing,Kolkata,UPI
ORD003711,CUST0375,2022-10-26,1645.39,Sports,Surat,Credit Card
ORD003609,CUST0369,2022-03-09,1022.99,Home & Kitchen,Chennai,Credit Card
ORD005329,CUST0547,2023-06-11,633.15,Sports,Kolkata,UPI
ORD002393,CUST0235,2023-11-24,310.37,Beauty,Bangalore,Debit Card
ORD004263,CUST0435,2022-11-04,1973.53,Books,Ahmedabad,UPI
ORD006761,CUST0683,2022-10-27,735.56,Beauty,Kolkata,Credit Card
ORD008508,CUST0876,2022-01-23,1618.03,Sports,Mumbai,UPI
ORD000108,CUST0011,2023-05-27,1904.99,Clothing,Chennai,Credit Card
ORD008133,CUST0845,2022-05-03,827.51,Clothing,Jaipur,UPI
ORD008786,CUST0894,2022-11-24,750.08,Beauty,Mumbai,UPI
ORD006329,CUST0641,2022-10-24,2495.97,Clothing,Chennai,UPI
ORD005685,CUST0587,2023-12-04,929.97,Home & Kitchen,Ahmedabad,Credit Card
ORD003059,CUST0312,2023-09-01,965.59,Electronics,Delhi,Debit Card
ORD007326,CUST0742,2022-10-23,311.26,Sports,Bangalore,Debit Card
ORD006450,CUST0651,2023-06-05,2743.04,Home & Kitchen,Mumbai,UPI
ORD003020,CUST0310,2022-04-02,1062.59,Clothing,Mumbai,UPI
ORD009411,CUST0946,2023-04-02,1507.85,Electronics,Kolkata,Credit Card
ORD009206,CUST0929,2022-09-11,202.83,Electronics,Chennai,UPI
ORD000036,CUST0005,2022-04-15,801.07,Electronics,Chennai,UPI
ORD005553,CUST0575,2023-08-24,529.01,Electronics,Mumbai,Credit Card
ORD004798,CUST0487,2023-04-09,2288.15,Electronics,Hyderabad,UPI
ORD004951,CUST0498,2022-11-17,1133.77,Beauty,Hyderabad,UPI
ORD003239,CUST0334,2022-04-27,888.72,Clothing,Pune,UPI
ORD004373,CUST0441,2023-07-29,533.27,Electronics,Jaipur,Debit Card
ORD004122,CUST0425,2023-04-28,844.91,Books,Jaipur,Credit Card
ORD009687,CUST0974,2022-07-27,804.81,Home & Kitchen,Chennai,NetBanking
ORD005206,CUST0529,2022-11-17,2335.53,Clothing,Delhi,UPI
ORD004464,CUST0452,2022-01-28,209.07,Electronics,Jaipur,Credit Card
ORD003995,CUST0410,2022-10-29,1268.31,Home & Kitchen,Mumbai,Credit Card
ORD006975,CUST0704,2022-12-13,615.42,Sports,Bangalore,UPI
ORD007827,CUST0810,2023-01-08,1645.34,Electronics,Ahmedabad,UPI
ORD003496,CUST0355,2023-10-19,2280.7,Home & Kitchen,Bangalore,UPI
ORD008129,CUST0843,2023-03-23,602.31,Beauty,Ahmedabad,UPI
ORD001085,CUST0101,2022-12-15,621.73,Clothing,Chennai,NetBanking
ORD001108,CUST0101,2023-08-09,914.83,Sports,Delhi,COD
ORD004437,CUST0450,2022-12-30,2047.16,Home & Kitchen,Delhi,UPI
ORD008738,CUST0889,2023-10-09,1268.27,Electronics,Bangalore,UPI
ORD006097,CUST0618,2023-04-25,456.81,Electronics,Kolkata,Credit Card
ORD008332,CUST0860,2023-07-22,1788.19,Electronics,Surat,Credit Card
ORD002755,CUST0284,2023-01-15,1960.15,Books,Hyderabad,UPI
ORD000622,CUST0057,2023-05-12,2575.2,Books,Pune,UPI
ORD000533,CUST0043,2022-07-16,2070.25,Sports,Jaipur,UPI
ORD008000,CUST0831,2022-02-11,557.99,Beauty,Kolkata,Credit Card
ORD008344,CUST0861,2023-05-19,501.52,Home & Kitchen,Mumbai,Credit Card
ORD002454,CUST0240,2023-04-29,783.58,Sports,Surat,COD
ORD006110,CUST0618,2023-04-10,470.0,Home & Kitchen,Bangalore,UPI
ORD005193,CUST0529,2023-09-24,1449.89,Home & Kitchen,Jaipur,UPI
ORD003338,CUST0340,2023-07-14,2331.08,Electronics,Chennai,UPI
ORD008609,CUST0881,2023-02-27,735.18,Clothing,Jaipur,UPI
ORD001513,CUST0145,2023-08-03,1219.18,Home & Kitchen,Mumbai,UPI
ORD009770,CUST0978,2022-08-04,2869.26,Sports,Chennai,Credit Card
ORD003144,CUST0324,2023-09-20,939.9,Clothing,Jaipur,UPI
ORD004741,CUST0476,2023-05-19,473.77,Sports,Jaipur,UPI
ORD006588,CUST0667,2023-09-24,716.91,Beauty,Delhi,Debit Card
ORD002679,CUST0270,2022-03-10,381.03,Home & Kitchen,Delhi,UPI
ORD009847,CUST0984,2022-01-08,1245.44,Books,Mumbai,NetBanking
ORD002146,CUST0206,2022-11-27,936.88,Electronics,Ahmedabad,Credit Card
ORD002289,CUST0223,2022-10-14,154.18,Clothing,Kolkata,UPI
ORD003152,CUST0324,2022-04-19,709.4,Home & Kitchen,Ahmedabad,COD
ORD007192,CUST0727,2023-03-11,385.92,Beauty,Jaipur,Credit Card
ORD008465,CUST0875,2022-05-12,2161.5,Beauty,Delhi,UPI
ORD001659,CUST0155,2023-04-05,394.75,Home & Kitchen,Surat,Credit Card
ORD001122,CUST0103,2022-05-10,372.56,Electronics,Ahmedabad,UPI
ORD007771,CUST0800,2023-06-01,125.84,Books,Kolkata,Credit Card
ORD004439,CUST0450,2022-11-11,3028.38,Electronics,Delhi,NetBanking
ORD004820,CUST0487,2022-07-20,1844.76,Clothing,Kolkata,Debit Card
ORD004760,CUST0477,2023-05-26,1257.3,Home & Kitchen,Delhi,COD
ORD004510,CUST0457,2022-01-19,1370.69,Clothing,Jaipur,Debit Card
ORD008098,CUST0841,2023-07-27,2966.63,Electronics,Ahmedabad,UPI
ORD002148,CUST0207,2022-08-19,746.61,Clothing,Jaipur,Credit Card
ORD002250,CUST0216,2023-05-25,818.24,Clothing,Delhi,Credit Card
ORD009496,CUST0956,2022-05-31,921.03,Electronics,Hyderabad,UPI
ORD000583,CUST0050,2023-05-22,1362.55,Home & Kitchen,Chennai,Credit Card
ORD002406,CUST0237,2022-08-01,924.72,Clothing,Chennai,UPI
ORD008720,CUST0889,2023-10-17,1156.72,Electronics,Kolkata,UPI
ORD007646,CUST0783,2023-11-07,1221.35,Books,Bangalore,COD
ORD005236,CUST0534,2022-02-01,297.52,Electronics,Hyderabad,UPI
ORD009808,CUST0983,2023-07-06,473.17,Clothing,Ahmedabad,UPI
ORD000260,CUST0022,2023-02-17,631.26,Clothing,Chennai,Debit Card
ORD006744,CUST0682,2023-09-02,466.5,Home & Kitchen,Surat,COD
ORD001863,CUST0174,2022-11-23,1005.48,Electronics,Jaipur,Debit Card
ORD007659,CUST0785,2023-10-23,419.29,Clothing,Hyderabad,UPI
ORD008346,CUST0861,2022-04-18,729.66,Electronics,Pune,UPI
ORD009980,CUST1000,2023-01-29,1191.82,Electronics,Bangalore,Credit Card
ORD002803,CUST0286,2022-11-24,948.61,Clothing,Jaipur,Debit Card
ORD006876,CUST0697,2023-02-03,1434.47,Electronics,Delhi,UPI
ORD001057,CUST0099,2023-07-20,1142.16,Sports,Chennai,Debit Card
ORD004505,CUST0457,2023-01-18,2005.2,Electronics,Chennai,NetBanking
ORD004618,CUST0464,2022-12-05,215.89,Home & Kitchen,Delhi,UPI
ORD003246,CUST0334,2023-09-04,547.39,Clothing,Chennai,UPI
ORD004743,CUST0477,2022-09-04,729.17,Clothing,Pune,COD
ORD004367,CUST0441,2023-08-22,647.1,Books,Pune,Debit Card
ORD009571,CUST0961,2022-01-03,2826.76,Home & Kitchen,Ahmedabad,Debit Card
ORD001374,CUST0129,2023-07-08,2912.84,Home & Kitchen,Surat,UPI
ORD009538,CUST0959,2022-02-03,560.03,Clothing,Bangalore,UPI
ORD001684,CUST0159,2022-02-08,794.13,Electronics,Chennai,Credit Card
ORD006248,CUST0635,2022-01-17,1079.4,Clothing,Hyderabad,NetBanking
ORD004030,CUST0416,2022-12-25,207.56,Sports,Kolkata,Debit Card
ORD006395,CUST0645,2022-10-22,507.92,Home & Kitchen,Ahmedabad,Credit Card
ORD006019,CUST0614,2022-11-27,1384.45,Home & Kitchen,Jaipur,UPI
ORD009628,CUST0965,2023-11-06,609.99,Electronics,Chennai,UPI
ORD002908,CUST0294,2023-02-20,505.6,Home & Kitchen,Hyderabad,UPI
ORD009807,CUST0983,2022-03-21,369.26,Sports,Hyderabad,Credit Card
