order_id,customer_id,amount,product_category,city,payment_method,Segment,Churn_Risk,R_score,F_score,M_score,year,month,month_name,quarter,week,date_str
ORD004023,CUST0416,425.96,Clothing,Pune,Debit Card,At Risk,High,2,4,4,2022,12,December,Q4,49,2022-12-10
ORD005413,CUST0559,461.39,Books,Ahmedabad,Credit Card,At Risk,High,4,2,2,2023,9,September,Q3,38,2023-09-22
ORD000488,CUST0041,827.81,Sports,Surat,Credit Card,Loyal Customers,Low,5,5,5,2022,9,September,Q3,38,2022-09-25
ORD000040,CUST0006,765.08,Beauty,Chennai,UPI,Loyal Customers,Low,4,4,4,2023,1,January,Q1,1,2023-01-03
ORD006796,CUST0690,855.75,Electronics,Mumbai,Credit Card,Loyal Customers,Low,4,4,4,2023,6,June,Q2,24,2023-06-17
ORD009440,CUST0947,934.64,Beauty,Jaipur,COD,Loyal Customers,Low,4,4,5,2022,12,December,Q4,50,2022-12-15
ORD007451,CUST0763,903.59,Clothing,Mumbai,UPI,Loyal Customers,Low,3,4,4,2022,1,January,Q1,1,2022-01-04
ORD002378,CUST0232,379.5,Clothing,Surat,Credit Card,Hibernating,Very High,2,3,3,2022,3,March,Q1,10,2022-03-12
ORD002408,CUST0237,958.55,Clothing,Ahmedabad,COD,Loyal Customers,Low,5,5,5,2022,11,November,Q4,47,2022-11-21
ORD000484,CUST0041,714.86,Electronics,Bangalore,Debit Card,Loyal Customers,Low,5,5,5,2023,7,July,Q3,27,2023-07-04
ORD008605,CUST0881,587.19,Sports,Ahmedabad,Debit Card,Loyal Customers,Low,5,5,5,2022,11,November,Q4,47,2022-11-23
ORD002754,CUST0284,2243.6,Clothing,Ahmedabad,COD,Champions,Low,5,5,5,2023,4,April,Q2,14,2023-04-06
ORD005842,CUST0600,1436.03,Clothing,Bangalore,UPI,Loyal Customers,Low,5,5,5,2022,1,January,Q1,4,2022-01-27
ORD004234,CUST0435,3122.07,Home & Kitchen,Chennai,Credit Card,Champions,Low,5,5,5,2022,6,June,Q2,25,2022-06-26
ORD002499,CUST0245,2687.73,Electronics,Ahmedabad,UPI,Champions,Low,5,5,5,2023,6,June,Q2,22,2023-06-01
ORD008870,CUST0900,1709.15,Electronics,Jaipur,Debit Card,Champions,Low,5,5,5,2023,12,December,Q4,49,2023-12-05
ORD005503,CUST0566,362.85,Clothing,Mumbai,NetBanking,Hibernating,Very High,2,2,2,2023,2,February,Q1,6,2023-02-07
ORD001394,CUST0129,3588.48,Clothing,Kolkata,UPI,Champions,Low,5,5,5,2022,3,March,Q1,10,2022-03-07
ORD003711,CUST0375,1645.39,Sports,Surat,Credit Card,Champions,Low,5,5,5,2022,10,October,Q4,43,2022-10-26
ORD003609,CUST0369,1022.99,Home & Kitchen,Chennai,Credit Card,Loyal Customers,Low,4,4,4,2022,3,March,Q1,10,2022-03-09
ORD005329,CUST0547,633.15,Sports,Kolkata,UPI,Loyal Customers,Low,5,4,4,2023,6,June,Q2,23,2023-06-11
ORD002393,CUST0235,310.37,Beauty,Bangalore,Debit Card,Loyal Customers,Low,5,4,4,2023,11,November,Q4,47,2023-11-24
ORD004263,CUST0435,1973.53,Books,Ahmedabad,UPI,Champions,Low,5,5,5,2022,11,November,Q4,44,2022-11-04
ORD006761,CUST0683,735.56,Beauty,Kolkata,Credit Card,Loyal Customers,Low,5,4,4,2022,10,October,Q4,43,2022-10-27
ORD008508,CUST0876,1618.03,Sports,Mumbai,UPI,Loyal Customers,Low,4,4,5,2022,1,January,Q1,3,2022-01-23
ORD000108,CUST0011,1904.99,Clothing,Chennai,Credit Card,Champions,Low,5,5,5,2023,5,May,Q2,21,2023-05-27
ORD008133,CUST0845,827.51,Clothing,Jaipur,UPI,Loyal Customers,Low,4,4,4,2022,5,May,Q2,18,2022-05-03
ORD008786,CUST0894,750.08,Beauty,Mumbai,UPI,At Risk,High,3,4,4,2022,11,November,Q4,47,2022-11-24
ORD006329,CUST0641,2495.97,Clothing,Chennai,UPI,Champions,Low,5,5,5,2022,10,October,Q4,43,2022-10-24
ORD005685,CUST0587,929.97,Home & Kitchen,Ahmedabad,Credit Card,Champions,Low,5,5,5,2023,12,December,Q4,49,2023-12-04
ORD003059,CUST0312,965.59,Electronics,Delhi,Debit Card,Loyal Customers,Low,4,5,5,2023,9,September,Q3,35,2023-09-01
ORD007326,CUST0742,311.26,Sports,Bangalore,Debit Card,At Risk,High,3,4,3,2022,10,October,Q4,42,2022-10-23
ORD006450,CUST0651,2743.04,Home & Kitchen,Mumbai,UPI,Champions,Low,5,5,5,2023,6,June,Q2,23,2023-06-05
ORD003020,CUST0310,1062.59,Clothing,Mumbai,UPI,Loyal Customers,Low,4,4,4,2022,4,April,Q2,13,2022-04-02
ORD009411,CUST0946,1507.85,Electronics,Kolkata,Credit Card,Champions,Low,5,5,5,2023,4,April,Q2,13,2023-04-02
ORD009206,CUST0929,202.83,Electronics,Chennai,UPI,Hibernating,Very High,2,2,2,2022,9,September,Q3,36,2022-09-11
ORD000036,CUST0005,801.07,Electronics,Chennai,UPI,Loyal Customers,Low,5,5,5,2022,4,April,Q2,15,2022-04-15
ORD005553,CUST0575,529.01,Electronics,Mumbai,Credit Card,At Risk,High,4,2,3,2023,8,August,Q3,34,2023-08-24
ORD004798,CUST0487,2288.15,Electronics,Hyderabad,UPI,Champions,Low,5,5,5,2023,4,April,Q2,14,2023-04-09
ORD004951,CUST0498,1133.77,Beauty,Hyderabad,UPI,Champions,Low,5,5,5,2022,11,November,Q4,46,2022-11-17
ORD003239,CUST0334,888.72,Clothing,Pune,UPI,Loyal Customers,Low,5,4,5,2022,4,April,Q2,17,2022-04-27
ORD004373,CUST0441,533.27,Electronics,Jaipur,Debit Card,Champions,Low,5,5,5,2023,7,July,Q3,30,2023-07-29
ORD004122,CUST0425,844.91,Books,Jaipur,Credit Card,Champions,Low,5,5,5,2023,4,April,Q2,17,2023-04-28
ORD009687,CUST0974,804.81,Home & Kitchen,Chennai,NetBanking,Loyal Customers,Low,4,5,5,2022,7,July,Q3,30,2022-07-27
ORD005206,CUST0529,2335.53,Clothing,Delhi,UPI,Champions,Low,5,5,5,2022,11,November,Q4,46,2022-11-17
ORD004464,CUST0452,209.07,Electronics,Jaipur,Credit Card,Hibernating,Very High,1,2,1,2022,1,January,Q1,4,2022-01-28
ORD003995,CUST0410,1268.31,Home & Kitchen,Mumbai,Credit Card,Loyal Customers,Low,5,5,5,2022,10,October,Q4,43,2022-10-29
ORD006975,CUST0704,615.42,Sports,Bangalore,UPI,Loyal Customers,Low,4,4,4,2022,12,December,Q4,50,2022-12-13
ORD007827,CUST0810,1645.34,Electronics,Ahmedabad,UPI,Loyal Customers,Low,4,4,5,2023,1,January,Q1,1,2023-01-08
ORD003496,CUST0355,2280.7,Home & Kitchen,Bangalore,UPI,Champions,Low,5,5,5,2023,10,October,Q4,42,2023-10-19
ORD008129,CUST0843,602.31,Beauty,Ahmedabad,UPI,Loyal Customers,Low,4,4,4,2023,3,March,Q1,12,2023-03-23
ORD001085,CUST0101,621.73,Clothing,Chennai,NetBanking,Loyal Customers,Low,5,5,5,2022,12,December,Q4,50,2022-12-15
ORD001108,CUST0101,914.83,Sports,Delhi,COD,Loyal Customers,Low,5,5,5,2023,8,August,Q3,32,2023-08-09
ORD004437,CUST0450,2047.16,Home & Kitchen,Delhi,UPI,Champions,Low,5,5,5,2022,12,December,Q4,52,2022-12-30
ORD008738,CUST0889,1268.27,Electronics,Bangalore,UPI,Champions,Low,5,5,5,2023,10,October,Q4,41,2023-10-09
ORD006097,CUST0618,456.81,Electronics,Kolkata,Credit Card,Loyal Customers,Low,4,5,4,2023,4,April,Q2,17,2023-04-25
ORD008332,CUST0860,1788.19,Electronics,Surat,Credit Card,Champions,Low,5,5,5,2023,7,July,Q3,29,2023-07-22
ORD002755,CUST0284,1960.15,Books,Hyderabad,UPI,Champions,Low,5,5,5,2023,1,January,Q1,2,2023-01-15
ORD000622,CUST0057,2575.2,Books,Pune,UPI,Champions,Low,4,5,5,2023,5,May,Q2,19,2023-05-12
ORD000533,CUST0043,2070.25,Sports,Jaipur,UPI,Champions,Low,5,5,5,2022,7,July,Q3,28,2022-07-16
ORD008000,CUST0831,557.99,Beauty,Kolkata,Credit Card,Loyal Customers,Low,5,5,5,2022,2,February,Q1,6,2022-02-11
ORD008344,CUST0861,501.52,Home & Kitchen,Mumbai,Credit Card,At Risk,High,5,3,3,2023,5,May,Q2,20,2023-05-19
ORD002454,CUST0240,783.58,Sports,Surat,COD,Loyal Customers,Low,5,5,5,2023,4,April,Q2,17,2023-04-29
ORD006110,CUST0618,470.0,Home & Kitchen,Bangalore,UPI,Loyal Customers,Low,4,5,4,2023,4,April,Q2,15,2023-04-10
ORD005193,CUST0529,1449.89,Home & Kitchen,Jaipur,UPI,Champions,Low,5,5,5,2023,9,September,Q3,38,2023-09-24
ORD003338,CUST0340,2331.08,Electronics,Chennai,UPI,Champions,Low,4,5,5,2023,7,July,Q3,28,2023-07-14
ORD008609,CUST0881,735.18,Clothing,Jaipur,UPI,Loyal Customers,Low,5,5,5,2023,2,February,Q1,9,2023-02-27
ORD001513,CUST0145,1219.18,Home & Kitchen,Mumbai,UPI,Loyal Customers,Low,5,4,5,2023,8,August,Q3,31,2023-08-03
ORD009770,CUST0978,2869.26,Sports,Chennai,Credit Card,Champions,Low,5,5,5,2022,8,August,Q3,31,2022-08-04
ORD003144,CUST0324,939.9,Clothing,Jaipur,UPI,Loyal Customers,Low,4,4,4,2023,9,September,Q3,38,2023-09-20
ORD004741,CUST0476,473.77,Sports,Jaipur,UPI,At Risk,High,3,1,1,2023,5,May,Q2,20,2023-05-19
ORD006588,CUST0667,716.91,Beauty,Delhi,Debit Card,Loyal Customers,Low,5,5,5,2023,9,September,Q3,38,2023-09-24
ORD002679,CUST0270,381.03,Home & Kitchen,Delhi,UPI,Loyal Customers,Low,5,5,5,2022,3,March,Q1,10,2022-03-10
ORD009847,CUST0984,1245.44,Books,Mumbai,NetBanking,Champions,Low,5,5,5,2022,1,January,Q1,1,2022-01-08
ORD002146,CUST0206,936.88,Electronics,Ahmedabad,Credit Card,Champions,Low,5,5,5,2022,11,November,Q4,47,2022-11-27
ORD002289,CUST0223,154.18,Clothing,Kolkata,UPI,Loyal Customers,Low,5,5,5,2022,10,October,Q4,41,2022-10-14
ORD003152,CUST0324,709.4,Home & Kitchen,Ahmedabad,COD,Loyal Customers,Low,4,4,4,2022,4,April,Q2,16,2022-04-19
ORD007192,CUST0727,385.92,Beauty,Jaipur,Credit Card,Loyal Customers,Low,4,5,4,2023,3,March,Q1,10,2023-03-11
